,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
97,N. Fekir,Nabil Fekir,84,27,1993-07-18,173,75,CAM,Midfield,Real Betis Balompié,Spain Primera Division,France,8,Left,4,4,Power Free-Kick  Finesse Shot  Flair  Outside Foot Shot  Chip Shot (AI)  Technical Dribbler (AI),83,83,82,87,38,79,74.4,83,83.8,78.4,73.5
98,L. Sané,Leroy Aziz Sané,84,25,1996-01-11,183,80,LM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,10,Left,2,4,Power Free-Kick  Flair  Speed Dribbler (AI),90,81,79,85,38,68,80.4,80,84.4,73.4,69
99,N. Barella,Nicolò Barella,84,24,1997-02-07,172,68,RCM,Midfield,Inter,Italian Serie A,Italy,23,Right,3,3,Solid Player  Technical Dribbler (AI),78,71,79,86,75,78,70.4,78.2,85.2,76.6,81.1666666666667
100,M. Acuña,Marcos Javier Acuña,84,29,1991-10-28,172,69,LB,Defender,Sevilla FC,Spain Primera Division,Argentina,19,Left,3,4,Flair  Long Passer (AI)  Outside Foot Shot,76,74,82,87,79,82,72.2,83.2,81.8,79.2,81.5
101,André Silva,André Miguel Valente da Silva,84,25,1995-11-06,185,84,ST,Forward,RB Leipzig,German 1. Bundesliga,Portugal,33,Right,3,4,Flair,74,84,69,83,45,77,79.2,68.2,77.2,80.8,78.1666666666667
102,F. Kessié,Franck Yannick Kessié,84,24,1996-12-19,183,88,LDM,Midfield,AC Milan,Italian Serie A,Côte d'Ivoire,79,Right,4,3,Solid Player  Leadership  Team Player,78,74,74,80,82,87,68.8,68.6,77.4,82.8,81.8333333333333
103,J. Grealish,Jack Grealish,84,25,1995-09-10,180,81,LW,Forward,Manchester City,English Premier League,England,10,Right,3,4,Flair  Playmaker (AI)  Technical Dribbler (AI),80,76,83,88,46,64,70.2,82.2,81.6,66.6,69.3333333333333
104,M. Ginter,Matthias Ginter,84,27,1994-01-19,191,86,RCB,Defender,Borussia Mönchengladbach,German 1. Bundesliga,Germany,28,Right,3,2,Solid Player  Long Passer (AI)  Team Player,62,58,72,66,86,79,67.8,60,62.6,71.2,70.5
105,L. Shaw,Luke Shaw,84,25,1995-07-12,181,75,LB,Defender,Manchester United,English Premier League,England,23,Left,2,3,Injury Prone  Early Crosser  Speed Dribbler (AI),79,54,79,80,81,80,69,73.6,78.2,73.2,74.8333333333333
106,De Gea,David De Gea Quintana,84,30,1990-11-07,192,82,GK,GK,Manchester United,English Premier League,Spain,1,Right,3,1,Cautious With Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,22.4,27.8,60.8,46.8,38.8333333333333
107,Jesús Navas,Jesús Navas González,84,35,1985-11-21,172,60,RB,Defender,Sevilla FC,Spain Primera Division,Spain,16,Right,2,4,Early Crosser  Speed Dribbler (AI)  Team Player,87,69,81,83,79,58,76.2,74.8,84.8,65.6,76.1666666666667
108,Piqué,Gerard Piqué Bernabéu,84,34,1987-02-02,194,85,LCB,Defender,FC Barcelona,Spain Primera Division,Spain,3,Right,3,2,Leadership,58,61,71,68,85,78,68.6,64.8,58.2,67.2,76
109,J. Henderson,Jordan Henderson,84,31,1990-06-17,182,80,RCM,Midfield,Liverpool,English Premier League,England,14,Right,3,3,Leadership  Early Crosser  Long Passer (AI)  Team Player,66,74,83,79,78,81,75.2,80.4,71,78.8,78
110,Fernando,Fernando Francisco Reges,84,33,1987-07-25,183,76,CDM,Midfield,Sevilla FC,Spain Primera Division,Brazil,25,Right,3,3,Dives Into Tackles (AI),66,62,75,74,83,82,66,69.2,69.4,76.6,72.8333333333333
111,Iago Aspas,Iago Aspas Juncal,84,33,1987-08-01,176,67,RS,Forward,RC Celta de Vigo,Spain Primera Division,Spain,10,Left,4,3,Leadership  Finesse Shot  Outside Foot Shot  Team Player  Chip Shot (AI),82,85,79,86,35,63,81.8,81.6,82,71,72.3333333333333
112,G. Wijnaldum,Georginio Wijnaldum,84,30,1990-11-11,175,74,RCM,Midfield,Paris Saint-Germain,French Ligue 1,Netherlands,18,Right,4,4,Solid Player  Flair,77,75,80,86,79,79,77,81,82.4,79.8,78.8333333333333
113,D. Alaba,David Olatukunbo Alaba,84,29,1992-06-24,180,78,LB,Defender,Real Madrid CF,Spain Primera Division,Austria,4,Left,4,3,Long Shot Taker (AI),77,70,81,80,83,76,73.2,80.6,79.2,78.4,79
114,D. Tadić,Dušan Tadić,84,32,1988-11-20,181,76,LW,Forward,Ajax,Holland Eredivisie,Serbia,10,Left,3,4,Solid Player  Leadership  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),69,81,85,85,43,76,80.4,83.2,76,76.6,73.6666666666667
115,W. Ben Yedder,Wissam Ben Yedder,84,30,1990-08-12,170,68,ST,Forward,AS Monaco,French Ligue 1,France,10,Right,5,4,Leadership  Flair  Outside Foot Shot  Team Player  Chip Shot (AI)  Technical Dribbler (AI),82,84,77,87,39,70,80.4,79.6,86.4,76,74.3333333333333
116,L. Digne,Lucas Digne,84,27,1993-07-20,178,74,LB,Defender,Everton,English Premier League,France,12,Left,2,3,Long Throw-in  Dives Into Tackles (AI)  Early Crosser,79,69,80,80,80,76,73.6,80.2,78.6,81.6,74.5
117,E. Martínez,Damián Emiliano Martínez,84,28,1992-09-02,195,88,GK,GK,Aston Villa,English Premier League,Argentina,1,Right,4,1,GK Long Throw  Team Player  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,25.4,28.2,58.8,49.6,38.3333333333333
118,H. Maguire,Harry Maguire,84,28,1993-03-05,194,100,LCB,Defender,Manchester United,English Premier League,England,5,Right,3,2,Solid Player  Leadership  Long Passer (AI)  Power Header,50,55,69,70,85,87,62.2,65,55,76.8,71.6666666666667
119,Luis Alberto,Luis Alberto Romero Alconchel,84,28,1992-09-28,183,74,LCM,Midfield,Lazio,Italian Serie A,Spain,10,Right,3,4,Finesse Shot  Flair  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Technical Dribbler (AI),60,76,86,84,57,59,72.6,86.2,69.2,69.2,65
120,S. Savić,Stefan Savić,84,30,1991-01-08,187,80,RCB,Defender,Atlético de Madrid,Spain Primera Division,Montenegro,15,Right,3,2,Power Header,64,35,57,58,87,76,50.6,49.6,62.8,59.2,62.3333333333333
121,D. Zapata,Duván Esteban Zapata Banguera,83,30,1991-04-01,189,88,ST,Forward,Atalanta,Italian Serie A,Colombia,91,Right,4,3,Power Header,80,81,61,78,35,84,73.6,65,73.2,79.6,66
122,W. Weghorst,Wout Weghorst,83,28,1992-08-07,197,84,ST,Forward,VfL Wolfsburg,German 1. Bundesliga,Netherlands,9,Right,3,2,Power Header,63,83,59,70,52,86,76,52.8,63.2,82.2,71.3333333333333
123,Angeliño,José Ángel Esmoris Tasende,83,24,1997-01-04,175,69,LB,Defender,RB Leipzig,German 1. Bundesliga,Spain,3,Left,3,4,Early Crosser  Flair  Long Shot Taker (AI)  Outside Foot Shot  Technical Dribbler (AI),78,71,82,84,76,70,73.4,81.6,81.6,73.4,75.1666666666667
124,A. Kramarić,Andrej Kramarić,83,30,1991-06-19,177,73,CAM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Croatia,27,Right,4,4,Flair  Long Shot Taker (AI)  Outside Foot Shot  Chip Shot (AI)  Technical Dribbler (AI),71,86,76,86,30,71,79.6,78.6,79.4,77,71.3333333333333
125,Gayà,José Luís Gayà Peña,83,26,1995-05-25,172,66,LB,Defender,Valencia CF,Spain Primera Division,Spain,14,Left,3,4,Team Player  Technical Dribbler (AI),83,61,77,80,79,73,67.6,73,82,65.4,72.5
126,P. Højbjerg,Pierre-Emile Kordt Højbjerg,83,25,1995-08-05,185,84,RCM,Midfield,Tottenham Hotspur,English Premier League,Denmark,5,Right,4,3,Solid Player  Leadership  Long Shot Taker (AI),60,71,76,76,81,82,67.8,76,66,78.8,73.3333333333333
127,T. Lemar,Thomas Lemar,83,25,1995-11-12,171,66,LCM,Midfield,Atlético de Madrid,Spain Primera Division,France,11,Left,3,4,Finesse Shot  Technical Dribbler (AI),82,76,82,86,59,63,74.2,83.2,83,71.2,73.1666666666667
128,T. Partey,Thomas Partey,83,28,1993-06-13,185,77,RDM,Midfield,Arsenal,English Premier League,Ghana,5,Right,3,3,Long Shot Taker (AI),69,71,82,81,80,84,70.2,78.2,68.8,82.8,75.8333333333333
129,Merino,Mikel Merino Zazón,83,25,1996-06-22,189,83,RCM,Midfield,Real Sociedad,Spain Primera Division,Spain,8,Left,3,3,Flair  Long Shot Taker (AI)  Outside Foot Shot,74,78,81,82,82,81,75.8,79.6,76,81.2,77.3333333333333
130,R. Gosens,Robin Everardus Gosens,83,26,1994-07-05,183,76,LM,Midfield,Atalanta,Italian Serie A,Germany,8,Left,3,3,Early Crosser  Long Shot Taker (AI),82,75,74,79,77,81,78.8,73.2,77.2,79.4,71.6666666666667
131,F. Chiesa,Federico Chiesa,83,23,1997-10-25,175,70,LM,Midfield,Juventus,Italian Serie A,Italy,22,Right,4,4,Long Shot Taker (AI)  Speed Dribbler (AI),91,81,74,85,48,73,72,74.6,86.6,75.8,65.8333333333333
132,A. Wan-Bissaka,Aaron Wan-Bissaka,83,23,1997-11-26,183,72,RB,Defender,Manchester United,English Premier League,England,29,Right,2,4,Solid Player  Dives Into Tackles (AI),85,52,69,79,81,75,57.8,66.6,81.8,67.2,69.6666666666667
133,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,29,1992-02-29,177,75,CAM,Midfield,Grêmio,Campeonato Brasileiro Série A,Brazil,7,Right,4,4,Power Free-Kick  Flair  Long Shot Taker (AI)  Technical Dribbler (AI),88,77,83,84,35,72,76,82.8,83.6,77,70.8333333333333
134,O. Dembélé,Ousmane Dembélé,83,24,1997-05-15,178,67,RW,Forward,FC Barcelona,Spain Primera Division,France,7,Left,5,5,Injury Prone  Flair  Speed Dribbler (AI),93,77,77,86,36,56,70.6,79,86.8,67.2,66.3333333333333
135,M. Mount,Mason Mount,83,22,1999-01-10,178,70,RW,Forward,Chelsea,English Premier League,England,19,Right,4,3,Long Shot Taker (AI)  Technical Dribbler (AI),74,79,84,83,55,65,76.2,82.8,77.6,71.4,72.5
136,É. Mendy,Édouard Mendy,83,29,1992-03-01,197,86,GK,GK,Chelsea,English Premier League,Senegal,16,Right,2,1,Leadership  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,14.6,23.4,44.8,42.8,25.8333333333333
137,A. Rüdiger,Antonio Rüdiger,83,28,1993-03-03,190,85,LCB,Defender,Chelsea,English Premier League,Germany,2,Right,3,2,Long Passer (AI),75,43,68,64,84,84,58.2,58.6,67.2,71.4,63.8333333333333
138,L. Ocampos,Lucas Ariel Ocampos,83,26,1994-07-11,188,84,LW,Forward,Sevilla FC,Spain Primera Division,Argentina,5,Right,3,4,Flair  Speed Dribbler (AI)  Outside Foot Shot,81,84,78,83,63,84,80.6,77.2,77.4,83.2,79.6666666666667
139,R. Jiménez,Raúl Alonso Jiménez Rodríguez,83,30,1991-05-05,188,81,ST,Forward,Wolverhampton Wanderers,English Premier League,Mexico,9,Right,4,3,Flair  Power Header  Outside Foot Shot  Technical Dribbler (AI),72,82,76,81,47,82,81,73.4,73,79.6,78.1666666666667
140,J. Pickford,Jordan Pickford,83,27,1994-03-07,185,77,GK,GK,Everton,English Premier League,England,1,Left,4,1,Solid Player  Long Passer (AI)  Rushes Out Of Goal  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,25.2,28.8,57.4,54,44.3333333333333
141,B. Leno,Bernd Leno,83,29,1992-03-04,190,83,GK,GK,Arsenal,English Premier League,Germany,1,Right,3,1,Rushes Out Of Goal  Cautious With Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.2,23.2,57,51.4,33.5
142,C. Vela,Carlos Alberto Vela Garrido,83,32,1989-03-01,177,77,RW,Forward,Los Angeles FC,USA Major League Soccer,Mexico,10,Left,2,4,Leadership  Finesse Shot  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),80,82,78,84,31,67,78.6,78,81.4,73,69
143,S. Kjær,Simon Thorup Kjær,83,32,1989-03-26,190,86,RCB,Defender,AC Milan,Italian Serie A,Denmark,24,Right,3,2,Leadership  Long Passer (AI),67,55,64,59,85,78,59.8,62.6,64.6,69.4,63.8333333333333
144,Azpilicueta,César Azpilicueta Tanco,83,31,1989-08-28,178,77,RWB,Defender,Chelsea,English Premier League,Spain,28,Right,3,2,Long Throw-in  Solid Player  Early Crosser  Long Passer (AI)  Team Player,66,55,76,72,84,76,66.6,70.2,71.6,71.6,74.8333333333333
145,Paulinho,José Paulo Bezzera Maciel Júnior,83,32,1988-07-25,183,80,LCM,Midfield,Al Ahli,Saudi Abdul L. Jameel League,Brazil,15,Right,4,4,Power Free-Kick  Finesse Shot  Long Shot Taker (AI)  Technical Dribbler (AI),72,81,77,81,80,85,78.4,76.4,76.6,85.6,79.6666666666667
146,Muniain,Iker Muniain Goñi,83,28,1992-12-19,170,66,LM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,10,Right,3,4,Finesse Shot  Flair  Playmaker (AI)  Outside Foot Shot  Team Player  Technical Dribbler (AI),81,76,82,87,51,61,71.2,82,85.4,69.4,69.8333333333333
147,Canales,Sergio Canales Madrazo,83,30,1991-02-16,176,65,LM,Midfield,Real Betis Balompié,Spain Primera Division,Spain,10,Left,3,4,Injury Prone  Finesse Shot  Flair  Long Shot Taker (AI)  Playmaker (AI),83,80,85,82,67,71,72.2,84.2,82.4,70.2,79.8333333333333
148,L. Hrádecký,Lukáš Hrádecký,83,31,1989-11-24,192,83,GK,GK,Bayer 04 Leverkusen,German 1. Bundesliga,Finland,1,Right,3,1,Leadership  Team Player  Comes For Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,14.4,17.8,49.2,44.8,29.8333333333333
149,Alex Sandro,Alex Sandro Lobo Silva,83,30,1991-01-26,180,80,LB,Defender,Juventus,Italian Serie A,Brazil,12,Left,3,3,Speed Dribbler (AI),81,65,77,79,78,79,72.8,73.4,79.2,77.8,72.6666666666667
150,E. Džeko,Edin Džeko,83,35,1986-03-17,193,80,RS,Forward,Inter,Italian Serie A,Bosnia and Herzegovina,9,Right,5,3,Finesse Shot  Technical Dribbler (AI),66,83,72,78,45,76,77,72.2,65.6,77.6,70.8333333333333
151,K. Manolas,Konstantinos Manolas,83,30,1991-06-14,189,83,RCB,Defender,Napoli,Italian Serie A,Greece,44,Right,2,2,Dives Into Tackles (AI),81,25,44,62,85,81,42.6,44.2,74.4,59,54.6666666666667
152,K. Volland,Kevin Volland,83,28,1992-07-30,179,85,RF,Forward,AS Monaco,French Ligue 1,Germany,31,Left,4,3,Solid Player,73,85,79,80,42,86,81.2,78.6,77.8,85,75.1666666666667
153,H. Mkhitaryan,Henrikh Mkhitaryan,83,32,1989-01-21,177,75,LM,Midfield,Roma,Italian Serie A,Armenia,77,Right,5,4,Finesse Shot  Flair,85,80,79,83,56,74,77.4,77,84,76.8,75.1666666666667
154,N. Pope,Nick Pope,83,29,1992-04-19,199,76,GK,GK,Burnley,English Premier League,England,1,Right,3,1,Comes For Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16.4,19.8,50.6,51,33.3333333333333
155,Morata,Álvaro Borja Morata Martín,83,28,1992-10-23,190,84,ST,Forward,Juventus,Italian Serie A,Spain,9,Right,4,3,Speed Dribbler (AI),82,80,72,81,31,77,80,69.6,75.8,78.6,68.5
156,Allan,Allan Marques Loureiro,83,30,1991-01-08,175,74,LDM,Midfield,Everton,English Premier League,Brazil,6,Right,3,4,Leadership,72,71,77,82,80,79,68,72,78.6,73.6,76.5
157,F. Acerbi,Francesco Acerbi,83,33,1988-02-10,192,88,LCB,Defender,Lazio,Italian Serie A,Italy,33,Left,3,3,Leadership  Long Passer (AI)  Power Header,63,50,62,64,86,83,51.6,66.8,55.6,75.4,67.5
158,S. Coates,Sebastián Coates Nión,83,30,1990-10-07,196,92,CB,Defender,Sporting CP,Portuguese Liga ZON SAGRES,Uruguay,4,Right,3,2,Solid Player  Dives Into Tackles (AI)  Leadership  Long Passer (AI)  Team Player,68,49,55,63,84,87,55.2,53,56,62.2,71
159,J. Matip,Joël Andre Job Matip,83,29,1991-08-08,194,90,RCB,Defender,Liverpool,English Premier League,Cameroon,32,Right,2,2,Injury Prone,58,46,68,68,85,78,60.2,60,58.4,67.8,68.6666666666667
160,J. Cuadrado,Juan Guillermo Cuadrado Bello,83,33,1988-05-26,179,72,RM,Midfield,Juventus,Italian Serie A,Colombia,11,Right,3,5,Flair  Technical Dribbler (AI),90,75,77,87,76,72,74.4,78.6,87.4,77.6,72.8333333333333
161,J. Maddison,James Maddison,82,24,1996-11-23,175,73,CAM,Midfield,Leicester City,English Premier League,England,10,Right,4,4,Flair  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,75,78,84,84,54,60,69,84.2,79,68.4,72.8333333333333
162,Palhinha,João Maria Lobo Alves Palhinha Gonçalves,82,25,1995-07-09,190,82,LCM,Midfield,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,6,Right,4,2,Dives Into Tackles (AI)  Long Passer (AI)  Playmaker (AI),60,65,70,72,85,88,66,66.8,60,79.8,74.6666666666667
163,C. Pulisic,Christian Mate Pulisic,82,22,1998-09-18,177,69,LW,Forward,Chelsea,English Premier League,United States,10,Right,4,4,Injury Prone  Speed Dribbler (AI),89,70,73,86,37,59,68.8,71.8,86.2,68.6,63
164,Fabián,Fabián Ruiz Peña,82,25,1996-04-03,189,70,RCM,Midfield,Napoli,Italian Serie A,Spain,8,Left,3,4,Finesse Shot  Long Shot Taker (AI)  Outside Foot Shot,63,78,79,82,74,71,73.6,76.6,69.4,72,75.1666666666667
165,Rúben Neves,Rúben Diogo da Silva Neves,82,24,1997-03-13,180,80,RCM,Midfield,Wolverhampton Wanderers,English Premier League,Portugal,8,Right,4,3,Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI),59,75,85,77,74,73,73.4,82.4,67.8,76.6,78.6666666666667
166,M. Ødegaard,Martin Ødegaard,82,22,1998-12-17,178,68,CAM,Midfield,Arsenal,English Premier League,Norway,8,Left,2,5,Solid Player  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),77,74,83,84,58,62,73,83,79.4,66.6,71.5
167,A. Rebić,Ante Rebić,82,27,1993-09-21,185,78,LM,Midfield,AC Milan,Italian Serie A,Croatia,12,Right,4,4,Technical Dribbler (AI),86,83,75,81,48,80,79.2,75,80.2,78.4,69.3333333333333
168,Diego Carlos,Diego Carlos Santos Silva,82,28,1993-03-15,185,86,LCB,Defender,Sevilla FC,Spain Primera Division,Brazil,20,Right,4,3,Long Passer (AI),76,47,63,68,81,83,51.2,65.6,71.4,74.4,66.3333333333333
169,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,82,28,1993-05-17,170,63,RM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,27,Right,3,4,Speed Dribbler (AI)  Outside Foot Shot,94,73,74,86,50,52,68.6,73.4,89.8,65.4,67.1666666666667
170,Anderson Talisca,Anderson Souza Conceição,82,27,1994-02-01,190,80,CAM,Midfield,Al Nassr,Saudi Abdul L. Jameel League,Brazil,94,Left,4,4,Finesse Shot  Flair  Long Passer (AI)  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,80,83,81,83,52,75,78.6,84.4,80,78.6,72.6666666666667
171,N. Süle,Niklas Süle,82,25,1995-09-03,195,99,LCB,Defender,FC Bayern München,German 1. Bundesliga,Germany,4,Right,3,2,Injury Prone,65,42,59,51,83,81,50.2,46.4,54.2,66.8,59.1666666666667
172,Mario Hermoso,Mario Hermoso Canseco,82,26,1995-06-18,185,76,LCB,Defender,Atlético de Madrid,Spain Primera Division,Spain,22,Left,3,2,Dives Into Tackles (AI),75,49,72,71,83,80,62.2,68.2,73.8,70.2,70
173,T. Souček,Tomáš Souček,82,26,1995-02-27,192,86,RDM,Midfield,West Ham United,English Premier League,Czech Republic,28,Right,3,3,Solid Player  Power Header,64,72,74,74,82,85,73,68.6,66.4,81.8,75.6666666666667
174,F. Neuhaus,Florian Christian Neuhaus,82,24,1997-03-16,185,74,LDM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,32,Right,4,3,Playmaker (AI),64,72,79,82,66,67,67.4,74.6,73.8,71.2,68.8333333333333
175,D. Livaković,Dominik Livaković,82,26,1995-01-09,187,79,GK,GK,Dinamo Zagreb,Croatian Prva HNL,Croatia,40,Right,3,1,Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.8,25.2,57.2,46.6,32.8333333333333
176,Ferran Torres,Ferran Torres García,82,21,2000-02-29,184,77,ST,Forward,Manchester City,English Premier League,Spain,21,Right,4,4,Technical Dribbler (AI),82,79,78,82,35,66,77,74.8,80.8,74.6,65.8333333333333
177,D. Berardi,Domenico Berardi,82,26,1994-08-01,183,72,RM,Midfield,U.S. Sassuolo Calcio,Italian Serie A,Italy,25,Left,3,4,Flair  Long Shot Taker (AI)  Team Player  Technical Dribbler (AI),79,80,81,85,36,69,76.4,80.6,81.4,72.2,70.8333333333333
178,Y. En-Nesyri,Youssef En-Nesyri,82,24,1997-06-01,188,78,ST,Forward,Sevilla FC,Spain Primera Division,Morocco,15,Left,4,3,Speed Dribbler (AI)  Power Header,78,83,58,78,35,76,73.2,66.2,70,78.6,63.6666666666667
179,A. Davies,Alphonso Boyle Davies,82,20,2000-11-02,183,75,LB,Defender,FC Bayern München,German 1. Bundesliga,Canada,19,Left,4,4,Flair  Speed Dribbler (AI),96,67,71,82,75,75,69,66.6,88,72.4,72
180,Raphaelinho Anjos,Raphael William Anjos Rochedo,82,33,1988-02-29,190,85,GK,GK,RB Bragantino,Campeonato Brasileiro Série A,Brazil,1,Right,2,1,Team Player,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,11,14.6,48,48,34.8333333333333
181,D. Rice,Declan Rice,82,22,1999-01-14,185,80,LDM,Midfield,West Ham United,English Premier League,England,41,Right,3,2,Leadership  Long Passer (AI),66,53,71,74,81,79,57,69,64.6,72.8,74.1666666666667
182,A. Isak,Alexander Isak,82,21,1999-09-21,192,77,ST,Forward,Real Sociedad,Spain Primera Division,Sweden,19,Right,5,4,Flair  Speed Dribbler (AI)  Outside Foot Shot,84,82,68,79,29,69,76.6,67,78.6,75.4,65.8333333333333
183,Raphinha,Raphael Dias Belloli,82,24,1996-12-14,176,68,RM,Midfield,Leeds United,English Premier League,Brazil,10,Left,4,4,Flair  Long Shot Taker (AI)  Speed Dribbler (AI)  Playmaker (AI)  Technical Dribbler (AI),91,76,76,84,49,72,69,79,86,75.8,73.3333333333333
184,Richarlison,Richarlison de Andrade,82,24,1997-05-10,181,71,LM,Midfield,Everton,English Premier League,Brazil,7,Right,5,4,Flair  Power Header  Technical Dribbler (AI),83,78,73,83,53,80,78,73.8,80,79.8,74.1666666666667
185,Unai Simón,Unai Simón Mendibil,82,24,1997-06-11,190,89,GK,GK,Athletic Club de Bilbao,Spain Primera Division,Spain,1,Right,3,1,Comes For Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,21,19.8,49,50.8,29.5
186,M. Locatelli,Manuel Locatelli,82,23,1998-01-08,185,75,RDM,Midfield,Juventus,Italian Serie A,Italy,27,Right,4,3,Long Shot Taker (AI)  Playmaker (AI),61,72,79,77,79,79,71.2,74.6,66.8,77.8,73.8333333333333
187,I. Gueye,Idrissa Gana Gueye,82,31,1989-09-26,174,66,CM,Midfield,Paris Saint-Germain,French Ligue 1,Senegal,27,Right,3,3,Long Shot Taker (AI)  Team Player,69,62,71,78,83,77,59,71.4,76.2,77.6,73.3333333333333
188,M. Götze,Mario Götze,82,29,1992-06-03,177,71,CAM,Midfield,PSV,Holland Eredivisie,Germany,27,Right,4,4,Finesse Shot  Flair  Playmaker (AI)  Technical Dribbler (AI),68,75,83,84,55,69,74.8,81.4,75.4,69.4,76
189,D. Blind,Daley Blind,82,31,1990-03-09,180,72,LB,Defender,Ajax,Holland Eredivisie,Netherlands,17,Left,3,3,Long Passer (AI)  Outside Foot Shot  Team Player,45,64,82,79,83,72,73.2,78.4,63.6,72.4,73.5
190,K. Trapp,Kevin Trapp,82,30,1990-07-08,189,88,GK,GK,Eintracht Frankfurt,German 1. Bundesliga,Germany,1,Right,4,1,Leadership  Rushes Out Of Goal  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,14.8,14.4,51.6,53,31.5
191,Oscar,Oscar dos Santos Emboaba Júnior,82,29,1991-09-09,179,70,CAM,Midfield,Shanghai Port FC,Chinese Super League,Brazil,8,Right,3,4,Solid Player  Long Passer (AI)  Outside Foot Shot  Technical Dribbler (AI),78,79,82,82,59,67,75,80.6,81.4,76.4,70
192,L. Stindl,Lars Edi Stindl,82,32,1988-08-26,181,80,CAM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,13,Right,4,4,Finesse Shot,61,84,81,81,60,73,78.6,79.4,71,77.4,78.1666666666667
193,M. Pjanić,Miralem Pjanić,82,31,1990-04-02,178,72,RCM,Midfield,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,15,Right,4,3,Finesse Shot  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),65,68,83,81,75,67,70.4,84.8,73.6,71.2,77.1666666666667
194,É. Banega,Éver Maximiliano David Banega,82,33,1988-06-29,174,75,CAM,Midfield,Al Shabab,Saudi Abdul L. Jameel League,Argentina,10,Right,4,4,Flair  Long Passer (AI)  Playmaker (AI)  Outside Foot Shot,62,75,84,82,76,71,71,83.6,72.4,69.6,80.1666666666667
195,Rui Patrício,Rui Pedro dos Santos Patrício,82,33,1988-02-15,190,84,GK,GK,Roma,Italian Serie A,Portugal,1,Left,2,1,Solid Player  Cautious With Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17,20.6,60.2,54,39.1666666666667
196,G. Bale,Gareth Frank Bale,82,31,1989-07-16,185,82,RW,Forward,Real Madrid CF,Spain Primera Division,Wales,18,Left,3,4,Long Throw-in  Injury Prone  Long Shot Taker (AI)  Speed Dribbler (AI)  Outside Foot Shot  Chip Shot (AI),82,84,82,80,55,70,83.4,84,76.6,79.6,73.1666666666667
197,S. Sirigu,Salvatore Sirigu,82,34,1987-01-12,192,85,GK,GK,Genoa,Italian Serie A,Italy,57,Right,2,1,Solid Player  GK Long Throw,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,13.8,16.6,55.4,47.8,33.3333333333333
198,Ł. Fabiański,Łukasz Fabiański,82,36,1985-04-18,190,83,GK,GK,West Ham United,English Premier League,Poland,1,Right,2,1,GK Long Throw  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,15,19.6,53.8,46.4,35.1666666666667
